event_id,nearest_facility_id,nearest_facility,nearest_facility_type,facility_distance_m,facility_confidence,spatial_zone,max_frp,observation_count,duration_hours,nearest_industrial_context_id,nearest_industrial_context,nearest_industrial_context_type,industrial_context_distance_m,inside_approx_industrial_context,approx_contexts,context_confidence,context_note
EVT-DAHEJ-00019,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,22354.0,verified,dahej_fringe,8.84,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,24339.5,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00020,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,23024.7,verified,comparison_area,2.01,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,30078.9,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00021,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,38196.4,verified,comparison_area,5.83,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,43583.5,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00022,FAC-DAHEJ-008,ONGC Petro Additions Ltd. (OPaL),petrochemical,1597.3,verified,dahej_core,1.65,7,24.5,CTX-DAHEJ-005,Port / Ship-building / Logistics corridor,port_logistics,1372.4,True,Port / Ship-building / Logistics corridor;Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00023,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,5348.5,verified,dahej_core,3.69,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,7691.8,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00024,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,41104.6,verified,comparison_area,1.0,2,0.8166666666666667,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,44295.1,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00025,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,41529.2,verified,comparison_area,2.69,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,45409.0,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00026,FAC-DAHEJ-008,ONGC Petro Additions Ltd. (OPaL),petrochemical,1511.9,verified,dahej_core,5.06,10,36.583333333333336,CTX-DAHEJ-005,Port / Ship-building / Logistics corridor,port_logistics,1150.5,True,Port / Ship-building / Logistics corridor;Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00027,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,4799.3,verified,dahej_core,23.08,5,0.85,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,8704.9,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00028,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,3454.7,verified,dahej_core,5.18,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,7330.9,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00029,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,5793.1,verified,dahej_core,3.47,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,8801.4,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00030,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,38722.4,verified,comparison_area,1.87,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,44593.9,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00031,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,18048.6,verified,dahej_fringe,2.05,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,20818.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00032,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,22765.3,verified,dahej_fringe,0.53,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,27137.8,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00033,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,41338.0,verified,comparison_area,5.85,1,0.0,CTX-DAHEJ-004,Power Plant / Large-Scale PCP Industry zone,power_large_scale_pcp,44627.5,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00034,FAC-DAHEJ-008,ONGC Petro Additions Ltd. (OPaL),petrochemical,1457.4,verified,dahej_core,5.71,7,35.75,CTX-DAHEJ-005,Port / Ship-building / Logistics corridor,port_logistics,1099.4,True,Port / Ship-building / Logistics corridor;Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00035,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,38411.7,verified,comparison_area,0.5,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,40281.1,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00036,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,31528.1,verified,comparison_area,2.44,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,34296.9,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00037,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,41559.4,verified,comparison_area,0.58,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,44156.6,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00038,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,40180.1,verified,comparison_area,4.8,2,0.8166666666666667,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,43240.5,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00039,FAC-DAHEJ-008,ONGC Petro Additions Ltd. (OPaL),petrochemical,1458.0,verified,dahej_core,4.2,9,47.38333333333333,CTX-DAHEJ-005,Port / Ship-building / Logistics corridor,port_logistics,1130.9,True,Port / Ship-building / Logistics corridor;Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00040,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,36166.2,verified,comparison_area,2.64,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,39024.1,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00041,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,20716.6,verified,dahej_fringe,1.87,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,26231.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00042,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,21370.1,verified,dahej_fringe,4.05,4,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,28307.3,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00043,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,38661.2,verified,comparison_area,2.8,3,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,44191.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00044,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,41734.7,verified,comparison_area,5.46,3,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,47691.8,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00045,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,18068.9,verified,dahej_fringe,4.84,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,20395.4,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00046,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,31100.5,verified,comparison_area,19.28,3,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,37931.2,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00047,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,37084.6,verified,comparison_area,4.7,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,42728.3,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00048,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,43940.0,verified,comparison_area,4.46,4,0.8666666666666667,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,48332.2,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00049,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,6154.6,verified,dahej_core,2.9,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,14026.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00050,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,37954.8,verified,comparison_area,5.33,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,43329.0,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00051,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,41696.1,verified,comparison_area,3.01,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,47727.1,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00052,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,30484.5,verified,comparison_area,5.49,2,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,34107.2,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00053,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,4103.3,verified,dahej_core,3.88,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,6741.9,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00054,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,39429.1,verified,comparison_area,0.45,2,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,44924.9,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00055,FAC-DAHEJ-008,ONGC Petro Additions Ltd. (OPaL),petrochemical,1516.3,verified,dahej_core,2.95,9,47.38333333333333,CTX-DAHEJ-005,Port / Ship-building / Logistics corridor,port_logistics,1212.5,True,Port / Ship-building / Logistics corridor;Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00056,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,31387.2,verified,comparison_area,2.64,2,0.8666666666666667,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,34911.3,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00057,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,1381.1,verified,dahej_core,2.28,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,8205.7,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00058,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,28302.5,verified,comparison_area,3.14,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,35832.0,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00059,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,27936.5,verified,comparison_area,2.89,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,33608.0,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00060,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,38697.2,verified,comparison_area,5.82,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,41663.1,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00061,FAC-DAHEJ-013,Meghmani Finechem / Meghmani Organic — Dahej,chemical,5237.4,verified,dahej_core,1.09,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,7081.8,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00062,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,31928.4,verified,comparison_area,17.27,5,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,36619.0,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00063,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,1251.4,verified,dahej_core,3.69,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,6654.3,True,Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00064,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,9023.6,verified,dahej_core,1.61,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,11160.4,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00065,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,24859.5,verified,comparison_area,3.05,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,30827.3,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00066,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,44945.7,verified,comparison_area,2.04,2,0.8166666666666667,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,49773.4,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00067,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,42344.7,verified,comparison_area,0.52,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,47157.6,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00068,FAC-DAHEJ-008,ONGC Petro Additions Ltd. (OPaL),petrochemical,1519.2,verified,dahej_core,0.9,6,47.36666666666667,CTX-DAHEJ-005,Port / Ship-building / Logistics corridor,port_logistics,1390.0,True,Port / Ship-building / Logistics corridor;Dahej PCPIR,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00069,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,7204.2,verified,dahej_core,6.26,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,13879.3,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00070,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,30326.0,verified,comparison_area,2.49,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,34030.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00071,FAC-DAHEJ-012,Tagros Chemicals India Pvt. Ltd.,chemical,40506.8,verified,comparison_area,5.16,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,43398.5,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00072,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,22844.9,verified,dahej_fringe,2.27,2,13.283333333333331,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,27164.4,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00073,FAC-DAHEJ-011,GACL-NALCO Dahej Caustic Captive Power Station,power_plant,29870.8,verified,comparison_area,2.01,1,0.0,CTX-DAHEJ-002,Dahej GIDC Industrial Estate — broad reference,gidc_industrial_estate,36194.7,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
EVT-DAHEJ-00074,FAC-DAHEJ-004,GACL-NALCO Alkalies & Chemicals Pvt. Ltd.,chemical,42576.1,verified,comparison_area,3.95,1,0.0,CTX-DAHEJ-003,Dahej SEZ,dahej_sez,46470.9,False,,approximate,Approximate reference buffers only; replace with official GIDC/SEZ/PCPIR polygons before treating containment as ground truth.
